Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
93,Friday Jul 27,boxscore,STL,@,PIT,L,0,4,,54-38,3,5.0,Swift,Haines,,,D,,--,
94,Saturday Jul 28,boxscore,STL,@,PIT,L,4,5,,54-39,3,5.5,Hoyt,Dean,,2:26,D,,---,
95,Sunday Jul 29,boxscore,STL,@,PIT,W,9,5,,55-39,3,5.0,Carleton,Swift,Dean,2:26,D,,+,
96,Tuesday Jul 31,boxscore,STL,@,CHC,L,2,7,,55-40,3,5.0,Warneke,Walker,,,D,,-,
97,Wednesday Aug 1,boxscore,STL,@,CHC,W,4,0,,56-40,3,5.5,Dean,Weaver,,,D,,+,
98,Thursday Aug 2,boxscore,STL,@,CHC,L,2,6,,56-41,3,5.5,Lee,Hallahan,,,D,,-,
99,Friday Aug 3,boxscore,STL,,PIT,W,9,3,,57-41,3,5.5,Dean,Hoyt,,1:55,D,,+,
100,Saturday Aug 4,boxscore,STL,,PIT,W,6,4,,58-41,3,5.0,Carleton,French,Dean,,D,,++,
101,Sunday Aug 5 (1),boxscore,STL,,PIT,L,4,6,,58-42,3,6.5,French,Dean,,2:03,D,,-,
102,Sunday Aug 5 (2),boxscore,STL,,PIT,L,2,7,,58-43,3,6.5,Hoyt,Hallahan,,2:09,D,,--,1934-06-09 (Rain)
103,Tuesday Aug 7 (1),boxscore,STL,@,CIN,W,2,0,,59-43,3,7.0,Dean,Johnson,,,D,,+,
104,Tuesday Aug 7 (2),boxscore,STL,@,CIN,L,2,9,,59-44,3,7.0,Stout,Hallahan,,2:04,D,,-,1934-08-09 (Schedule change)
105,Wednesday Aug 8,boxscore,STL,@,CIN,W,10,4,12,60-44,3,6.0,Dean,Brennan,,2:45,D,,+,
106,Friday Aug 10,boxscore,STL,,CHC,W,17,3,,61-44,3,6.5,Carleton,Warneke,,,D,,++,
107,Saturday Aug 11,boxscore,STL,,CHC,W,6,4,,62-44,3,6.5,Walker,Lee,,,D,,+++,
108,Sunday Aug 12 (1),boxscore,STL,,CHC,L,2,7,,62-45,3,7.5,Weaver,Dean,Warneke,2:24,D,,-,
109,Sunday Aug 12 (2),boxscore,STL,,CHC,L,4,6,,62-46,3,7.5,Malone,Dean,,,D,32000,--,1934-04-20 (Cold)
110,Tuesday Aug 14,boxscore,STL,,PHI,W,5,1,,63-46,3,6.5,Haines,Moore,,,D,,+,
111,Thursday Aug 16 (1),boxscore,STL,,PHI,W,4,3,11,64-46,3,5.5,Haines,Johnson,,,D,,++,
112,Thursday Aug 16 (2),boxscore,STL,,PHI,W,7,2,,65-46,3,5.5,Walker,Collins,,1:53,D,,+++,1934-08-15 (Rain)
113,Friday Aug 17,boxscore,STL,,PHI,W,12,2,,66-46,3,6.0,Dean,Moore,,,D,,++++,
114,Saturday Aug 18,boxscore,STL,,BSN,W,15,0,,67-46,3,6.0,Hallahan,Cantwell,,,D,,+++++,
115,Sunday Aug 19 (1),boxscore,STL,,BSN,L,9,10,,67-47,3,6.5,Betts,Dean,,2:32,D,,-,
116,Sunday Aug 19 (2),boxscore,STL,,BSN,W,3,1,,68-47,3,6.5,Walker,Rhem,,1:35,D,,+,1934-08-20 (Rain)
117,Tuesday Aug 21,boxscore,STL,,BSN,W,6,2,,69-47,3,6.0,Carleton,Brown,,,D,,++,
118,Thursday Aug 23,boxscore,STL,,NYG,L,3,5,,69-48,3,7.0,Luque,Dean,Fitzsimmons,2:10,D,6000,-,
119,Friday Aug 24,boxscore,STL,,NYG,W,5,0,,70-48,2,6.0,Dean,Bowman,,2:01,D,4900,+,
120,Saturday Aug 25,boxscore,STL,,NYG,L,6,7,,70-49,3,7.0,Schumacher,Dean,,2:48,D,,-,
121,Sunday Aug 26 (1),boxscore,STL,,BRO,L,5,11,,70-50,3,6.5,Leonard,Carleton,,2:15,D,,--,
122,Sunday Aug 26 (2),boxscore,STL,,BRO,W,7,2,,71-50,3,6.5,Hallahan,Munns,,2:03,D,7200,+,1934-05-14 (Rain)
123,Monday Aug 27,boxscore,STL,,BRO,L,1,10,,71-51,3,6.5,Zachary,Carleton,,,D,,-,
124,Tuesday Aug 28,boxscore,STL,,BRO,W,2,0,,72-51,3,6.5,Dean,Benge,,,D,,+,
125,Wednesday Aug 29,boxscore,STL,,BRO,W,4,1,,73-51,3,5.5,Walker,Babich,,,D,,++,
126,Friday Aug 31,boxscore,STL,@,CHC,W,3,1,,74-51,2,5.5,Dean,Bush,,,D,,+++,
127,Saturday Sep 1,boxscore,STL,@,CHC,W,7,1,,75-51,2,5.5,Hallahan,Lee,,,D,,++++,
128,Monday Sep 3 (1),boxscore,STL,@,PIT,L,2,12,,75-52,2,6.0,French,Dean,,,D,,-,
129,Monday Sep 3 (2),boxscore,STL,@,PIT,L,5,6,,75-53,2,6.0,Meine,Dean,,,D,,--,
130,Wednesday Sep 5,boxscore,STL,@,BRO,W,2,1,,76-53,2,7.0,Dean,Leonard,,,D,,+,
131,Thursday Sep 6,boxscore,STL,@,BRO,W,7,5,,77-53,2,7.0,Carleton,Zachary,,,D,,++,
132,Sunday Sep 9 (1),boxscore,STL,@,PHI,W,6,1,,78-53,2,5.0,Dean,Moore,,1:49,D,,+++,
133,Sunday Sep 9 (2),boxscore,STL,@,PHI,W,7,3,8,79-53,2,5.0,Walker,Davis,,1:54,D,,++++,1934-05-26 (Rain)
134,Monday Sep 10,boxscore,STL,@,PHI,W,4,1,,80-53,2,4.0,Dean,Collins,,,D,,+++++,
135,Tuesday Sep 11 (1),boxscore,STL,@,PHI,L,0,5,,80-54,2,4.5,Johnson,Carleton,,,D,,-,
136,Tuesday Sep 11 (2),boxscore,STL,@,PHI,W,6,4,,81-54,2,4.5,Hallahan,Hansen,Dean,,D,,+,1934-07-13 (Rain)
137,Wednesday Sep 12,boxscore,STL,@,PHI,L,1,3,,81-55,2,5.5,Hansen,Vance,Davis,,D,,-,
138,Thursday Sep 13,boxscore,STL,@,NYG,W,2,0,12,82-55,2,4.5,Dean,Fitzsimmons,,,D,,+,
139,Friday Sep 14,boxscore,STL,@,NYG,L,1,4,,82-56,2,5.5,Schumacher,Walker,,,D,,-,
140,Sunday Sep 16 (1),boxscore,STL,@,NYG,W,5,3,,83-56,2,3.5,Dean,Schumacher,Carleton,2:18,D,,+,
141,Sunday Sep 16 (2),boxscore,STL,@,NYG,W,3,1,11,84-56,2,3.5,Dean,Hubbell,,2:16,D,62573,++,1934-09-15 (Rain)
142,Thursday Sep 20 (1),boxscore,STL,@,BSN,W,4,1,,85-56,2,3.5,Carleton,Brandt,,1:42,D,,+++,
143,Thursday Sep 20 (2),boxscore,STL,@,BSN,W,1,0,,86-56,2,3.5,Walker,Frankhouse,,,D,,++++,1934-09-18 (Threatening weather)
144,Friday Sep 21 (1),boxscore,STL,@,BRO,W,13,0,,87-56,2,3.0,Dean,Zachary,,,D,,+++++,1934-09-08 (Rain)
145,Friday Sep 21 (2),boxscore,STL,@,BRO,W,3,0,,88-56,2,3.0,Dean,Benge,,,D,,++++++,1934-09-07 (Rain)
146,Sunday Sep 23 (1),boxscore,STL,@,CIN,W,9,7,,89-56,2,2.5,Haines,Frey,Dean,2:18,D,,+++++++,
147,Sunday Sep 23 (2),boxscore,STL,@,CIN,L,3,4,,89-57,2,2.5,Derringer,Dean,,2:02,D,13407,-,1934-09-22 (Rain)
148,Monday Sep 24,boxscore,STL,@,CHC,W,3,1,,90-57,2,2.0,Walker,Warneke,,,D,,+,1934-09-02 (Rain)
149,Tuesday Sep 25,boxscore,STL,,PIT,W,3,2,,91-57,2,1.0,Dean,French,,,D,,++,
150,Wednesday Sep 26,boxscore,STL,,PIT,L,0,3,,91-58,2,1.0,Hoyt,Dean,,,D,,-,
151,Thursday Sep 27,boxscore,STL,,CIN,W,8,5,,92-58,2,0.5,Walker,Derringer,Carleton,2:12,D,,+,
152,Friday Sep 28,boxscore,STL,,CIN,W,4,0,,93-58,1,Tied,Dean,Frey,,,D,,++,
153,Saturday Sep 29,boxscore,STL,,CIN,W,6,1,,94-58,1,up 1.0,Dean,Derringer,,1:52,D,,+++,
154,Sunday Sep 30,boxscore,STL,,CIN,W,9,0,,95-58,1,up 2.0,Dean,Johnson,,2:01,D,35274,++++,
